City,Date,AQI
Kothagudem,01-10-2022,92
Kothagudem,01-11-2022,86
Kothagudem,01-12-2022,90
Kothur,01-01-2017,90.33333333
Kothur,01-02-2017,88.46296296
Kothur,01-03-2017,82.77777778
Kothur,01-04-2017,98.48148148
Kothur,01-05-2017,86.37037037
Kothur,01-06-2017,64.47619048
Kothur,01-07-2017,68.88888889
Kothur,01-08-2017,63.01851852
Kothur,01-09-2017,69.22222222
Kothur,01-10-2017,72.22222222
Kothur,01-11-2017,75.7037037
Kothur,01-12-2017,89.48148148
Kothur,01-01-2018,107.5555556
Kothur,01-02-2018,89.66666667
Kothur,01-03-2018,107.6666667
Kothur,01-04-2018,106.6666667
Kothur,01-05-2018,104.6666667
Kothur,01-06-2018,106.7777778
Kothur,01-07-2018,95.57142857
Kothur,01-08-2018,92.71428571
Kothur,01-09-2018,100.2222222
Kothur,01-10-2018,101.7777778
Kothur,01-11-2018,114
Kothur,01-12-2018,107
Kothur,01-01-2020,110.7777778
Kothur,01-02-2020,114
Kothur,01-03-2020,110
Kothur,01-04-2020,70
Kothur,01-05-2020,94
Kothur,01-06-2020,76.625
Kothur,01-07-2020,130
Kothur,01-08-2020,90
Kothur,01-09-2020,0
Kothur,01-10-2020,83
Kothur,01-11-2020,110.3333333
Kothur,01-12-2020,93.88888889
Kothur,01-01-2021,109.7777778
Kothur,01-02-2021,113
Kothur,01-03-2021,84
Kothur,01-04-2021,85
Kothur,01-05-2021,86
Kothur,01-06-2021,99
Kothur,01-07-2021,103
Kothur,01-08-2021,134
Kothur,01-09-2021,97.22222222
Kothur,01-10-2021,93
Kothur,01-11-2021,82
Kothur,01-12-2021,102
Kothur,01-01-2022,109.7777778
Kothur,01-02-2022,113
Kothur,01-03-2022,84
Kothur,01-04-2022,85
Kothur,01-05-2022,86
Kothur,01-06-2022,99
Kothur,01-07-2022,103
Kothur,01-08-2022,134
Kothur,01-09-2022,97.22222222
Kothur,01-10-2022,93
Kothur,01-11-2022,82
Kothur,01-12-2022,102
"Kuda, warangal",01-01-2017,73
"Kuda, warangal",01-02-2017,69.88888889
"Kuda, warangal",01-03-2017,65.03703704
"Kuda, warangal",01-04-2017,73.51851852
"Kuda, warangal",01-05-2017,71.07407407
"Kuda, warangal",01-06-2017,62.66666667
"Kuda, warangal",01-07-2017,58.55555556
"Kuda, warangal",01-08-2017,56.14583333
"Kuda, warangal",01-09-2017,67.66666667
"Kuda, warangal",01-10-2017,58.72222222
"Kuda, warangal",01-11-2017,65.03703704
"Kuda, warangal",01-12-2017,69.62962963
"Kuda, warangal",01-01-2018,116.5555556
"Kuda, warangal",01-02-2018,91
"Kuda, warangal",01-03-2018,79.96350375
"Kuda, warangal",01-04-2018,81.64262619
"Kuda, warangal",01-05-2018,84.2218114
"Kuda, warangal",01-06-2018,85.55549123
